Area,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
China,1000 persons,685523.498,697164.5179999999,709900.098,724319.9,740790.571,759495.9670000002,780172.786,802167.6259999998,824557.7220000002,846620.9670000002,868190.202,889295.073,909655.35,928998.074,947156.395,964005.563,979633.74,994379.125,1008732.454,1023101.506,1037429.004,1051735.68,1066586.302,1082688.198,1100463.29,1120243.308,1141675.094,1163644.75,1184602.882,1203433.94,1219730.012,1233806.442,1246160.288,1257604.869,1268746.308,1279704.134,1290305.591,1300530.4740000002,1310294.314,1319551.4009999998,1328341.175,1336765.152,1344908.155,1352871.0280000002,1360734.525,1368528.374,1376265.629,1383985.631,1391725.007,1399502.716,1407323.826,1415164.184,1422971.062
"China, Hong Kong SAR",1000 persons,3142.571,3230.2990000000004,3311.458,3389.558,3467.22,3545.855,3624.98,3703.171,3778.185,3848.924,3913.599,3974.197,4037.794,4113.99,4208.955,4326.335999999998,4462.402,4607.029,4745.879,4868.742,4971.687,5058.04,5133.709,5207.839,5287.022,5373.446999999999,5464.705,5557.391,5646.273,5727.938,5800.036999999998,5864.739000000001,5928.334,5999.616999999998,6084.227,6185.585,6299.9209999999985,6416.991999999998,6522.4659999999985,6606.326999999998,6664.772,6701.775,6724.677,6744.566,6769.574000000001,6802.08,6840.015,6881.863,6924.642,6966.331,7006.59,7046.848000000001,7088.778
"China, Macao SAR",1000 persons,170.46200000000005,176.183,184.245,193.561,203.228,213.192,223.418,233.0,240.83900000000003,246.194,248.738,248.767,246.947,244.285,241.628,239.075,236.678,235.171,235.44,238.071,243.373,251.158,260.931,271.918,283.503,295.591,308.18,320.773,332.783,343.80800000000005,353.626,362.311,370.199,377.798,385.513,393.3730000000001,401.352,409.616,418.383,427.782,437.9380000000001,448.821,460.165,471.597,482.858,493.799,504.511,515.239,526.4,538.219,550.832,564.039,577.372
"China, mainland",1000 persons,670952.695,682102.655,694339.083,708254.5970000002,724218.968,742414.885,762581.176,784074.709,805985.939,827601.3940000002,848759.71,869485.964,889485.372,908464.198,926240.885,942685.411,957891.272,972205.442,986132.202,1000089.235,1014022.212,1027948.987,1042431.412,1058171.976,1075589.361,1095014.1090000002,1116095.476,1137724.227,1158357.397,1176883.674,1192897.284,1206711.244,1218817.055,1230020.031,1240920.535,1251636.186,1261996.012,1271982.35,1281514.832,1290550.765,1299129.752,1307352.257,1315303.521,1323084.6409999998,1330776.38,1338408.647,1345993.888,1353569.4840000002,1361169.419,1368810.615,1376497.639,1384206.4009999998,1391883.33
"China, Taiwan Province of",1000 persons,11257.77,11655.381,12065.312,12482.184,12901.155,13322.035,13743.212,14156.746,14552.758999999998,14924.455,15268.155,15586.145,15885.237,16175.601,16464.927,16754.741,17043.388,17331.483,17618.933,17905.458,18191.732,18477.495,18760.25,19036.465,19303.404,19560.161,19806.733,20042.359,20266.429,20478.52,20679.065,20868.148,21044.7,21207.423,21356.033,21488.99,21608.306,21721.516,21838.633,21966.527,22108.713,22262.299,22419.792,22570.224,22705.713,22823.848,22927.215,23019.045,23104.546,23187.551,23268.765,23346.896,23421.582
