Area,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
Aruba,1000 persons,55.438,56.225,56.695,57.032,57.36,57.715,58.055,58.386,58.726000000000006,59.063,59.44,59.84,60.243,60.528,60.657,60.586000000000006,60.36600000000001,60.103,59.98,60.096000000000004,60.567,61.345,62.201,62.836000000000006,63.026,62.644,61.833,61.07899999999999,61.032,62.148999999999994,64.622,68.235,72.50399999999999,76.7,80.324,83.2,85.45100000000001,87.277,89.005,90.853,92.898,94.992,97.01700000000001,98.73700000000001,100.031,100.834,101.22200000000001,101.35799999999999,101.455,101.669,102.046,102.56,103.15899999999999
Australia,1000 persons,10445.837,10643.417,10845.178,11065.415,11313.195,11593.413,11899.639,12215.701000000001,12518.937,12793.034,13033.133,13244.171,13431.794,13605.57,13773.288,13935.731000000002,14092.548,14249.401000000002,14413.0,14588.405,14777.243,14979.205,15194.641000000001,15423.166000000001,15663.663,15917.572,16183.168,16452.255,16713.988999999998,16960.596999999998,17189.24,17402.173,17603.205,17798.529,17993.074,18189.277,18387.214,18587.021,18788.186,18991.431,19194.672,19401.368000000002,19624.166,19879.648999999998,20178.54,20526.303,20916.343999999997,21332.282000000003,21750.851000000002,22154.679,22538.001,22903.947999999997,23254.912999999997
Austria,1000 persons,7111.142,7156.8330000000005,7205.994000000001,7256.090999999999,7305.158,7352.24,7397.170999999999,7439.579000000001,7479.346,7516.2390000000005,7550.34,7581.116999999999,7607.065,7626.29,7637.689,7640.749,7636.576,7627.759,7617.884,7609.7519999999995,7604.513000000001,7602.181,7603.102,7607.293000000001,7614.868,7625.393,7639.352,7658.84,7686.571999999999,7723.9490000000005,7772.701,7830.933000000001,7892.085999999999,7947.209,7990.121,8017.863,8032.876,8041.05,8051.113,8069.276,8097.7480000000005,8134.411999999999,8175.852,8216.805,8253.65,8285.343,8313.737,8341.532,8372.663,8409.949,8453.501,8502.226999999999,8556.189
Azerbaijan,1000 persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7471.9259999999995,7581.754,7683.7080000000005,7775.424,7855.553000000001,7925.668000000001,7989.905,8054.126,8122.741,8197.298,8277.061,8361.433,8448.946,8538.605,8630.146,8724.243,8821.873,8924.388,9032.461,9146.275,9264.692,9385.468
Bahamas,1000 persons,115.12100000000001,121.09100000000001,127.339,133.709,140.059,146.382,152.62,158.648,164.268,169.377,173.889,177.86599999999999,181.517,185.12,188.896,192.90900000000002,197.101,201.47799999999998,205.984,210.59099999999998,215.326,220.18400000000003,225.084,229.923,234.578,239.017,243.271,247.451,251.733,256.223,261.008,266.029,271.069,275.846,280.184,283.978,287.358,290.597,294.062,298.051,302.618,307.66,313.129,318.894,324.85900000000004,331.033,337.389,343.681,349.60400000000004,354.94199999999995,359.57800000000003,363.584,367.16900000000004
Bahrain,1000 persons,167.894,173.144,178.14,182.887,187.43099999999998,191.78,196.063,200.653,206.043,212.605,220.312,229.155,239.52700000000002,251.91099999999997,266.543,283.752,303.175,323.473,342.79900000000004,359.88800000000003,374.12,385.95,396.454,407.225,419.42800000000005,433.48,448.971,465.19800000000004,481.087,495.931,509.76,523.086,536.21,549.5830000000001,563.697,578.6659999999999,594.931,613.7,636.5409999999999,664.6110000000001,697.545,735.1460000000001,778.7080000000001,829.8439999999999,889.164,958.418,1035.9189999999999,1114.641,1185.076,1240.86,1278.151,1299.944,1315.0279999999998
Bangladesh,1000 persons,49362.843,50752.157,52202.007000000005,53741.71599999999,55385.112,57157.654,59034.249,60918.454000000005,62679.765,64232.482,65531.633,66625.705,67637.53,68742.233,70066.30099999999,71652.381,73463.584,75450.032,77529.045,79639.491,81767.515,83932.127,86142.495,88416.521,90764.183,93187.603,95671.163,98186.35,100695.49699999999,103171.95599999999,105599.127,107983.704,110350.63900000001,112737.683,115169.93,117649.93199999999,120160.564,122682.815,125189.651,127657.854,130088.70199999999,132478.086,134791.603,136986.432,139035.505,140921.167,142660.376,144304.167,145924.797,147575.43,149273.139,151005.739,152761.418
Barbados,1000 persons,231.718,232.63299999999998,233.63,234.58599999999998,235.41299999999998,236.088,236.65900000000002,237.24099999999999,237.955,238.896,240.09400000000002,241.515,243.06900000000002,244.644,246.15400000000002,247.583,248.937,250.203,251.351,252.394,253.298,254.082,254.78799999999998,255.497,256.263,257.107,258.019,258.97700000000003,259.957,260.936,261.905,262.88599999999997,263.874,264.893,265.955,267.04900000000004,268.187,269.336,270.45099999999996,271.515,272.5,273.425,274.329,275.284,276.323,277.47700000000003,278.7,279.94599999999997,281.10400000000004,282.131,282.987,283.70099999999996,284.296
Belarus,1000 persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10154.334,10135.127,10108.291,10077.608,10044.853000000001,10009.394,9969.987,9924.437,9871.632,9811.401,9745.923,9679.235,9616.634,9562.088,9516.883,9480.515,9452.855,9433.152,9420.574,9415.32,9417.046,9423.506
Belgium,1000 persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10282.033000000001,10319.019,10364.885,10419.032,10480.117,10546.886,10619.475,10697.572,10778.758,10859.94,10938.739,11013.853000000001,11085.358,11154.008999999998
